Path,Predicted Emotion,True Emotion
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav,fear,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav,angry,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav,fear,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav,fear,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav,disgust,happy
AudioWAV/1001_IEO_ANG_LO.wav,disgust,angry
AudioWAV/1001_IEO_HAP_HI.wav,angry,happy
AudioWAV/1001_DFA_NEU_XX.wav,angry,neutral
AudioWAV/1001_IEO_FEA_LO.wav,disgust,fear
AudioWAV/1001_IEO_DIS_LO.wav,disgust,disgust
AudioWAV/1001_DFA_HAP_XX.wav,angry,happy
AudioWAV/1001_DFA_SAD_XX.wav,disgust,sad
AudioWAV/1001_DFA_DIS_XX.wav,disgust,disgust
AudioWAV/1001_DFA_FEA_XX.wav,angry,fear
AudioWAV/1001_IEO_ANG_HI.wav,angry,angry
AudioWAV/1001_IEO_FEA_MD.wav,angry,fear
AudioWAV/1001_IEO_DIS_MD.wav,disgust,disgust
AudioWAV/1001_DFA_ANG_XX.wav,angry,angry
AudioWAV/1001_IEO_DIS_HI.wav,angry,disgust
AudioWAV/1001_IEO_FEA_HI.wav,angry,fear
AudioWAV/1001_IEO_ANG_MD.wav,angry,angry
